PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Joel Embiid,PHI,28,68,45,23,33.8,115.6,107.8,7.9,23.6,1.33,13.0,6.8,27.3,17.6,9.8,53.4,61.6,37.5,96.96,21.2,4640,31579390.0,148922969.0,21.2
James Harden,PHI,32,65,40,25,37.2,114.9,111.4,3.5,40.1,2.35,30.9,2.4,17.6,10.3,13.1,48.5,58.3,26.6,99.49,15.3,5015,44310840.0,148922969.0,29.8
DeAndre Jordan,PHI,33,48,26,22,13.0,100.7,111.5,-10.8,5.1,0.57,9.5,12.7,26.2,19.6,16.8,64.3,64.1,13.2,102.03,12.0,1321,11109327.0,148922969.0,7.5
Tobias Harris,PHI,29,73,45,28,34.8,113.2,110.0,3.2,15.8,2.17,17.1,3.2,16.4,9.9,7.9,53.2,56.6,21.4,96.79,11.5,5131,35995950.0,148922969.0,24.2
Tyrese Maxey,PHI,21,75,45,30,35.3,113.3,109.7,3.6,19.1,3.65,21.4,1.0,8.0,4.6,5.9,55.2,59.4,19.9,97.10,10.5,5362,2602920.0,148922969.0,1.7
Paul Reed,PHI,22,38,21,17,8.0,107.7,113.9,-6.2,8.1,1.60,12.5,13.7,16.4,15.0,7.8,57.3,56.8,15.1,99.08,10.5,624,1517981.0,148922969.0,1.0
Shake Milton,PHI,25,55,34,21,21.4,108.6,109.6,-1.0,17.8,3.16,22.6,2.5,9.4,5.9,7.2,48.3,51.7,17.4,98.24,7.9,2412,1846738.0,148922969.0,1.2
Furkan Korkmaz,PHI,24,67,44,23,21.1,108.8,108.0,0.8,12.9,2.65,18.6,1.5,10.4,6.1,7.0,46.9,50.2,17.0,99.33,7.6,2929,4629630.0,148922969.0,3.1
Georges Niang,PHI,28,76,48,28,22.8,110.9,109.0,1.9,9.0,1.73,13.7,1.4,9.7,5.7,7.9,57.5,59.4,16.0,98.83,6.6,3575,3300000.0,148922969.0,2.2
Paul Millsap,PHI,37,33,22,11,11.4,106.9,110.4,-3.5,12.1,1.53,16.7,9.6,18.2,13.7,10.9,42.6,45.8,15.8,99.65,6.4,782,2641691.0,148922969.0,1.8
Matisse Thybulle,PHI,25,66,43,23,25.5,110.9,107.2,3.8,6.3,1.92,17.4,2.6,6.4,4.5,9.0,57.5,59.4,9.5,97.32,5.7,3398,2840160.0,148922969.0,1.9
Danny Green,PHI,34,62,37,25,21.8,111.5,108.5,3.0,6.5,1.42,14.7,2.5,9.1,5.9,10.3,55.5,56.1,12.1,98.81,5.4,2784,10000000.0,148922969.0,6.7
Isaiah Joe,PHI,22,55,35,20,11.1,108.2,106.5,1.7,8.0,1.84,14.5,1.0,7.9,4.5,7.9,47.7,51.9,14.4,99.35,5.1,1262,1517981.0,148922969.0,1.0
Giannis Antetokounmpo,MIL,27,67,45,22,32.9,115.9,107.9,8.0,30.4,1.77,17.8,6.0,26.7,16.8,10.0,58.2,63.3,34.0,103.12,21.0,4743,39344900.0,160875421.0,24.5
Jrue Holiday,MIL,31,67,47,20,32.9,118.2,109.7,8.5,29.7,2.50,27.3,3.1,10.0,6.6,10.9,57.0,59.3,23.1,101.18,12.6,4666,31171333.0,160875421.0,19.4
Khris Middleton,MIL,30,66,44,22,32.4,115.0,109.6,5.4,24.6,1.88,21.3,1.9,13.6,7.9,11.3,52.2,57.7,25.5,102.88,12.2,4613,35500000.0,160875421.0,22.1
Bobby Portis,MIL,27,72,46,26,28.2,114.7,108.5,6.3,6.1,0.96,7.8,8.5,21.8,15.3,8.2,55.5,57.1,20.7,101.53,11.7,4311,4347600.0,160875421.0,2.7
Serge Ibaka,MIL,32,54,30,24,16.3,106.0,108.9,-3.0,8.4,1.14,12.1,7.0,19.7,13.5,10.6,56.3,57.9,17.2,101.49,9.6,1856,9720900.0,160875421.0,6.0
Sandro Mamukelashvili,MIL,23,41,22,19,9.9,99.6,117.3,-17.6,8.4,1.47,13.7,7.9,11.6,9.7,9.3,59.1,61.8,14.2,100.54,9.0,855,462629.0,160875421.0,0.3
Pat Connaughton,MIL,29,65,41,24,26.0,111.3,112.1,-0.7,6.7,2.34,12.9,2.5,13.0,7.7,5.5,60.5,62.0,13.7,101.72,8.9,3583,5333334.0,160875421.0,3.3
Grayson Allen,MIL,26,66,43,23,27.3,112.5,107.5,5.0,7.5,2.33,13.6,1.7,9.7,5.8,5.8,58.8,60.9,14.8,101.69,8.1,3842,4054695.0,160875421.0,2.5
George Hill,MIL,36,54,36,18,23.2,112.5,100.8,11.7,12.4,2.93,25.9,2.9,8.4,5.8,8.9,50.4,55.2,11.5,101.54,7.3,2652,5275491.0,160875421.0,3.3
Jordan Nwora,MIL,23,62,34,28,19.1,109.5,112.5,-3.0,7.1,1.04,9.9,3.0,14.7,8.9,9.5,48.8,50.6,18.7,103.21,7.2,2548,1517981.0,160875421.0,0.9
Jevon Carter,MIL,26,66,39,27,13.7,107.3,110.3,-3.0,14.8,2.82,24.6,1.4,9.7,5.6,8.7,51.8,53.1,13.5,101.81,6.7,1922,4107149.0,160875421.0,2.6
Thanasis Antetokounmpo,MIL,29,48,26,22,9.9,104.3,114.4,-10.1,7.1,0.85,11.1,8.3,12.9,10.6,13.1,55.5,57.7,15.5,102.22,6.7,1002,1729217.0,160875421.0,1.1
Wesley Matthews,MIL,35,49,33,16,20.5,114.4,107.7,6.7,4.7,2.00,12.6,2.9,5.6,4.3,6.3,51.6,53.6,10.4,102.71,3.5,2142,1958495.0,160875421.0,1.2
Luka Doncic,DAL,23,65,44,21,35.4,113.8,110.3,3.5,45.8,1.95,22.9,2.5,23.0,12.9,11.8,52.9,57.1,36.8,96.18,19.1,4604,10174391.0,126696965.0,8.0
Jalen Brunson,DAL,25,79,50,29,31.9,113.8,109.4,4.4,23.7,3.04,23.7,1.7,10.5,6.2,7.8,54.9,58.3,21.5,95.68,12.2,5036,1802057.0,126696965.0,1.4
Spencer Dinwiddie,DAL,29,67,38,29,29.6,108.4,109.4,-1.0,27.0,3.33,26.8,2.2,11.1,6.8,8.0,49.3,54.3,20.8,98.28,10.7,4052,19314284.0,126696965.0,15.2
Dwight Powell,DAL,30,82,52,30,21.9,113.2,110.6,2.5,8.1,1.52,15.1,9.9,13.4,11.6,10.0,68.7,72.5,13.6,95.12,10.2,3556,11080125.0,126696965.0,8.7
Marquese Chriss,DAL,24,34,24,10,10.2,105.4,107.5,-2.1,7.9,1.00,9.3,9.6,19.7,14.7,9.3,49.3,51.8,20.5,99.91,8.2,722,1292900.0,126696965.0,1.0
Maxi Kleber,DAL,30,59,36,23,24.6,109.2,105.3,3.9,6.7,1.45,13.6,4.7,18.2,11.6,9.4,51.6,53.7,13.1,96.44,8.1,2916,8750000.0,126696965.0,6.9
Dorian Finney-Smith,DAL,29,80,51,29,33.0,114.8,110.4,4.4,8.0,1.88,15.6,4.7,9.5,7.2,8.3,59.5,60.4,13.8,94.83,7.6,5227,4000000.0,126696965.0,3.2
Sterling Brown,DAL,27,49,31,18,12.8,105.4,103.1,2.3,7.8,1.48,15.5,3.9,18.8,11.3,10.5,47.1,49.5,12.4,100.21,7.3,1313,3000000.0,126696965.0,2.4
Frank Ntilikina,DAL,23,58,34,24,11.8,106.6,102.3,4.3,14.9,2.23,20.7,1.6,9.4,5.5,9.3,48.4,51.3,16.5,99.20,7.3,1416,1789256.0,126696965.0,1.4
Josh Green,DAL,21,67,44,23,15.5,107.5,103.8,3.7,11.0,1.80,19.8,4.9,10.5,7.7,11.1,56.3,57.8,13.0,100.49,7.2,2170,2957520.0,126696965.0,2.3
Trey Burke,DAL,29,42,24,18,10.5,103.6,104.2,-0.5,21.9,2.19,18.4,0.9,6.4,3.7,8.4,45.1,47.5,25.0,99.17,6.9,909,3150000.0,126696965.0,2.5
Reggie Bullock,DAL,31,68,44,24,28.0,113.3,106.7,6.6,6.0,2.08,13.1,1.7,10.6,6.3,6.3,54.2,55.8,12.8,96.22,6.5,3821,9536000.0,126696965.0,7.5
Davis Bertans,DAL,29,56,32,24,14.4,109.5,108.5,1.0,5.4,1.63,9.1,1.4,12.7,7.1,5.6,50.0,53.1,16.5,99.72,6.0,1681,16000000.0,126696965.0,12.6
LeBron James,LAL,37,56,25,31,37.2,110.9,113.5,-2.5,29.7,1.78,18.4,3.1,18.5,10.9,10.4,59.0,61.9,31.7,100.92,18.0,4380,41180544.0,164409293.0,25.0
Anthony Davis,LAL,29,40,17,23,35.1,105.9,108.9,-3.0,14.7,1.49,12.2,7.2,19.6,13.4,8.2,54.2,57.8,26.3,101.79,15.9,2977,35361360.0,164409293.0,21.5
Russell Westbrook,LAL,33,78,31,47,34.3,107.5,111.5,-4.0,31.1,1.86,24.4,3.9,16.5,10.3,13.1,47.6,51.2,26.4,102.57,11.3,5730,44211146.0,164409293.0,26.9
Dwight Howard,LAL,36,60,21,39,16.2,109.3,115.0,-5.7,4.9,0.74,9.5,12.0,24.6,18.2,12.8,63.0,65.7,14.5,100.13,11.2,2019,2641691.0,164409293.0,1.6
Malik Monk,LAL,24,76,32,44,28.1,113.2,112.9,0.3,14.4,1.79,17.9,1.7,9.9,5.8,10.0,57.8,59.7,19.5,101.65,9.3,4546,1789256.0,164409293.0,1.1
Carmelo Anthony,LAL,38,69,27,42,26.0,108.7,111.7,-2.9,5.6,1.15,7.5,3.4,11.6,7.6,6.5,54.4,57.9,19.5,103.07,8.9,3862,2641691.0,164409293.0,1.6
Austin Reaves,LAL,24,61,28,33,23.2,110.8,109.0,1.8,10.1,2.75,21.2,3.1,9.9,6.6,7.7,54.2,60.0,12.1,101.81,7.6,3007,925258.0,164409293.0,0.6
Talen Horton-Tucker,LAL,21,60,23,37,25.2,107.9,110.1,-2.2,15.3,1.94,19.1,2.4,10.0,6.1,9.8,46.2,50.3,18.9,101.27,7.0,3179,9500000.0,164409293.0,5.8
Wayne Ellington,LAL,34,43,15,28,18.8,107.5,111.3,-3.8,5.5,1.58,10.5,1.2,7.8,4.6,6.6,58.6,59.3,13.5,101.01,6.4,1708,2641691.0,164409293.0,1.6
Stanley Johnson,LAL,26,48,16,32,22.8,114.0,115.2,-1.1,9.4,2.29,20.1,3.2,10.9,7.1,8.8,53.2,56.4,12.5,100.83,6.0,2289,1368998.0,164409293.0,0.8
Trevor Ariza,LAL,36,24,8,16,19.3,106.9,112.2,-5.3,7.9,2.45,18.6,2.0,15.1,8.4,7.6,43.4,44.9,11.0,99.42,5.9,955,2641691.0,164409293.0,1.6
Wenyen Gabriel,LAL,25,26,8,18,13.8,118.1,111.4,6.7,5.3,0.88,8.9,10.5,15.1,12.8,10.1,52.7,54.9,16.5,101.67,5.6,757,522015.0,164409293.0,0.3
Avery Bradley,LAL,31,62,27,35,22.7,105.4,111.2,-5.8,4.6,1.24,10.6,2.1,7.3,4.7,8.6,54.0,55.0,11.9,100.99,4.5,2953,2641691.0,164409293.0,1.6
Kent Bazemore,LAL,32,39,16,23,14.0,99.8,108.7,-8.9,8.5,1.62,16.8,2.2,9.7,5.9,10.4,42.8,45.1,12.8,103.78,3.2,1171,2401537.0,164409293.0,1.5
Kevin Durant,BKN,33,55,36,19,37.2,116.2,109.7,6.5,27.4,1.84,19.1,1.5,16.6,9.7,10.4,57.0,63.4,31.0,101.17,18.0,4311,42018900.0,174811922.0,24.0
Andre Drummond,BKN,28,73,42,31,19.7,112.2,109.8,2.4,13.0,1.14,17.5,15.5,30.5,23.0,15.4,57.0,57.4,18.1,99.27,14.0,2957,2401537.0,174811922.0,1.4
Kyrie Irving,BKN,30,29,14,15,37.6,118.9,113.8,5.2,23.5,2.29,18.5,1.5,9.6,5.7,8.1,55.0,59.2,28.3,100.75,13.5,2292,35328700.0,174811922.0,20.2
LaMarcus Aldridge,BKN,36,47,26,21,22.3,111.3,111.1,0.1,6.2,0.95,7.2,7.1,16.0,11.8,7.5,56.6,60.4,21.9,100.81,12.8,2213,2641691.0,174811922.0,1.5
Day'Ron Sharpe,BKN,20,32,12,20,12.2,115.6,108.8,6.9,6.2,0.57,8.0,19.7,19.8,19.8,14.1,58.4,59.3,20.5,99.71,11.1,812,2009160.0,174811922.0,1.1
Bruce Brown,BKN,25,72,37,35,24.6,111.7,112.0,-0.3,11.4,2.64,19.4,5.6,13.0,9.4,7.3,54.3,57.5,14.6,100.26,9.3,3690,4736102.0,174811922.0,2.7
Seth Curry,BKN,31,64,38,26,33.3,113.7,109.2,4.5,16.2,2.11,20.8,1.0,8.2,4.7,9.9,59.4,61.5,18.2,96.94,9.2,4311,8207518.0,174811922.0,4.7
Blake Griffin,BKN,33,56,29,27,17.1,107.8,112.5,-4.7,15.7,3.39,21.8,6.1,16.9,11.6,6.4,48.6,51.8,16.7,101.65,9.1,2030,32405817.0,174811922.0,18.5
Cam Thomas,BKN,20,67,32,35,17.6,106.3,112.7,-6.4,10.2,1.42,11.5,1.3,11.8,6.5,8.1,48.0,51.9,21.2,100.69,8.9,2476,2036280.0,174811922.0,1.2
Goran Dragic,BKN,36,21,10,11,23.7,112.1,111.7,0.4,22.7,2.53,30.1,2.7,10.4,6.6,11.9,43.0,47.4,16.6,102.37,7.2,1062,19348907.0,174811922.0,11.1
